event_date,event_time,Sport,Venue,Events
24th_July_2021,9:00,Equestrian,Equestrian Park,Dressage Grand Prix Team and Individual Day 1
24th_July_2021,9:00,Football,Miyagi Stadium,"Women's Group F: China vs Zambia, Women's Group F: Netherlands vs Brazil"
24th_July_2021,9:30,Football,Saitama Stadium,"Women's Group G: Sweden vs Australia, Women's Group G: New Zealand vs United States"
24th_July_2021,10:00,Fencing,Makuhari Messe Hall,"Women's Epée Individual Semifinals, Men's Sabre Individual Semifinals, Women's Epée Individual Bronze Medal Bout"
24th_July_2021,10:00,Badminton,Musashino Forest Sport Plaza,"Men's Singles Group Play Stage, Women's Singles Group Play Stage, Men's Doubles Group Play Stage, Women's Doubles Group Play Stage, Mixed Doubles Group Play Stage"
24th_July_2021,10:20,Water Polo,Tatsumi Water Polo Centre,"Women's Preliminary Round - Group A: South Africa vs Spain, Women's Preliminary Round - Group B: China vs ROC"
24th_July_2021,10:30,Hockey,Oi Hockey Stadium,"Men's Pool B: Great Britain vs South Africa, Women's Pool A: Netherlands vs India"
24th_July_2021,11:00,Hockey,Oi Hockey Stadium,"Men's Pool B: Canada vs Germany, Women's Pool A: Ireland vs South Africa"
24th_July_2021,11:00,Taekwondo,Makuhari Messe Hall,"Women -49 kg Repechages (2 matches), Men -58 kg Repechages (2 matches), Women -49 kg Bronze Medal Contests (2 matches), Men -58 kg Bronze Medal Contests (2 matches), Women -49 kg Gold Medal Contest, Men -58 kg Gold Medal Contest"
24th_July_2021,11:00,Swimming,Tokyo Aquatics Centre,"Men's 400m Individual Medley - Heats, Women's 100m Butterfly - Heats, Men's 400m Freestyle - Heats, Women's 400m Individual Medley - Heats, Men's 100m Breaststroke - Heats, Women's 4 x 100m Freestyle Relay - Heats"
24th_July_2021,11:30,Artistic Gymnastics,Ariake Gymnastics Centre,Men's Qualification
24th_July_2021,11:30,Table Tennis,Tokyo Metropolitan Gymnasium,"Men's Singles Round 1, Women's Singles Round 1"
24th_July_2021,11:30,Handball,Yoyogi National Stadium,"Men's Preliminary Round Group B: Portugal vs Egypt, Men's Preliminary Round Group B: Denmark vs Japan"
24th_July_2021,11:40,Volleyball,Ariake Arena,"Men's Preliminary Round - Pool A: Poland vs Islamic Rep. of Iran, Men's Preliminary Round - Pool B: United States vs France"
24th_July_2021,13:00,3x3 Basketball,Aomi Urban Sports Park,"Women's Pool Round (2 games), Men's Pool Round (2 games)"
24th_July_2021,12:00,Softball/Baseball,Yokohama Baseball Stadium,Softball Opening Round: Japan vs Italy
24th_July_2021,12:00,Beach Volleyball,Shiokaze Park,Men's or Women's Preliminaries (3 matches)
25th_July_2021,23:00,Surfing,Tsurigasaki Surfing Beach,"Men's Round 1, Women's Round 1, Men's Round 2, Women's Round 2"
25th_July_2021,1:00,Volleyball,Ariake Arena,"Women's Preliminary Round - Pool B: ROC vs Italy, Women's Preliminary Round - Pool B: United States vs Argentina"
25th_July_2021,1:00,Skateboarding,Ariake Urban Sports Park,"Men's Street Prelims Heats, Men's Street Final"
25th_July_2021,1:00,Shooting,Asaka Shooting Range,"Skeet Women's Qualification - Day 1, Skeet Men's Qualification - Day 1"
25th_July_2021,1:00,Shooting,Asaka Shooting Range,"10m Air Pistol Women's Qualification. 10m Air Pistol Women's Finals, 10m Air Pistol Women's Victory Ceremony, 10m Air Rifle Men's Qualification, 10m Air Rifle Men's Finals, 10m Air Rifle Men's Victory Ceremony"
25th_July_2021,1:00,Rowing,Sea Forest Waterway,"Men's Single Sculls Semifinals E/F, Women's Single Sculls Semifinals E/F, Men's Pair Repechage, Women's Pair Repechage, Lightweight Men's Double Sculls Repechages, Lightweight Women's Double Sculls Repechages, Men's Quadruple Sculls Repechage, Women's Quadruple Sculls Repechage, Men's Eight Heats, Women's Eight Heats"
25th_July_2021,1:00,Beach volleyball,Shiokaze Park,Men's or Women's Preliminaries (4 matches)
25th_July_2021,1:00,Handball,Yoyogi National Stadium,"Women's Preliminary Round Group A: Netherlands vs Japan, Women's Preliminary Round Group B: ROC vs Brazil"
25th_July_2021,1:00,Fencing,Makuhari Messe Hall,"Women's Foil Individual Table of 64, Men's Epée Individual Table of 64, Women's Foil Individual Table of 32, Men's Epée Individual Table of 32, Women's Foil Individual Table of 16, Men's Epée Individual Table of 16, Women's Foil Individual Quarterfinals, Men's Epée Individual Quarterfinals"
25th_July_2021,1:30,Archery,Yumenoshima Park Archery Field,Women's Team 1/8 Eliminations
25th_July_2021,1:30,Hockey,Oi Hockey Stadium,"Women's Pool A: Great Britain vs Germany, Women's Pool B: Japan vs China"
25th_July_2021,2:00,Table Tennis,Tokyo Metropolitan Gymnasium,Mixed Doubles Quarterfinals
25th_July_2021,2:00,Hockey,Oi Hockey Stadium,"Women's Pool B: Australia vs Spain, Women's Pool B: New Zealand vs Argentina"
25th_July_2021,2:00,Basketball,Saitama Super Arena,Men's Preliminary Round Group A: Islamic Rep. of Iran vs Winner of Olympic Qualifying Tournament in Victoria(Canada)
25th_July_2021,2:00,Artistic Gymnastics,Ariake Gymnastics Centre,Women's Qualification
25th_July_2021,2:00,Water Polo,Tatsumi Water Polo Centre,"Men's Preliminary Round - Group A: South Africa vs Italy, Men's Preliminary Round - Group A: Hungary vs Greece"
25th_July_2021,2:00,Taekwondo,Makuhari Messe Hall,"Women -57 kg Round of 16 (8 matches), Men -68 kg Round of 16 (8 matches), Women -57 kg Quarterfinals (4 matches), Men -68 kg Quarterfinals (4 matches), Women -57 kg Semifinals (2 matches), Men -68 kg Semifinals (2 matches)"
25th_July_2021,2:00,Badminton,Musashino Forest Sport Plaza,"Men's Singles Group Play Stage, Women's Singles Group Play Stage, Men's Doubles Group Play Stage, Women's Doubles Group Play Stage, Mixed Doubles Group Play Stage"
25th_July_2021,2:00,Softball,Yokohama Baseball Stadium,"Softball Opening Round: Australia vs United States, Softball Opening Round: Canada vs Japan"
25th_July_2021,2:15,3x3 Basketball,Aomi Urban Sports Park,"Women's Pool Round (2 games), Men's Pool Round (2 games)"
25th_July_2021,2:30,Swimming,Tokyo Aquatics Centre,"Men's 400m Individual Medley Final, Women's 100m Butterfly Semifinals, Men's 400m Freestyle Final, Men's 400m Individual Medley Victory Ceremony, Women's 400m Individual Medley Final, Men's 400m Freestyle Victory Ceremony, Men's 100m Breaststroke Semifinals, Women's 4 x 100m Freestyle Relay Final"
25th_July_2021,3:00,Tennis,Ariake Tennis Park,"Men's Singles First Round, Women's Singles First Round, Men's Doubles First Round, Women's Doubles First Round"
25th_July_2021,3:00,Judo,Nippon Budokan,"Women -78 kg Elimination Rounds, Women -78 kg Quarterfinals, Men -100 kg Elimination Rounds, Men -100 kg Quarterfinals"
25th_July_2021,3:00,Judo,Nippon Budokan,"Women -52 kg Elimination Rounds, Women -52 kg Quarterfinals, Men -66 kg Elimination Rounds, Men -66 kg Quarterfinals"
25th_July_2021,3:00,Boxing,Kokugikan Arena,"Women's Fly (48-51kg) - Preliminaries - Round of 32, Women's Middle (69-75kg) - Preliminaries - Round of 32, Men's Light (57-63kg) - Preliminaries - Round of 32, Men's Light Heavy (75-81kg) - Preliminaries - Round of 32"
25th_July_2021,3:50,Weightlifting,Tokyo International Forum,Men's 61 kg Group B and Men's 67 kg Group B
25th_July_2021,4:00,Sailing,Enoshima Yacht Harbour,"RS:X Men, RS:X Women, Laser Men, Laser Radial Women"
25th_July_2021,5:00,Canoe Slalom,Kasai Canoe Slalom Centre,"Canoe (C1) Men Heats, Kayak (K1) Women Heats"
25th_July_2021,5:00,Cycling Road,Fuji international Speedway,Women's Road Race
25th_July_2021,5:40,Basketball,Saitama Super Arena,"Men's Preliminary Round Group B, Winner of Olympic Qualifying Tournament in Split(Croatia) vs Winner of Olympic Qualifying Tournament in Belgrade(Serbia)"
25th_July_2021,5:45,Archery,Yumenoshima Park Archery Field,"Women's: Team Quarterfinals, Team Semifinals, Team Bronze Medal Match, Team Gold Medal Match"
25th_July_2021,6:00,Water Polo,Tatsumi Water Polo Centre,"Men's Preliminary Round - Group A: United States vs Japan, Men's Preliminary Round - Group B: Australia vs Montenegro"
25th_July_2021,6:00,Table Tennis,Tokyo Metropolitan Gymnasium,"Men's Singles Round 2, Women's Singles Round 2"
25th_July_2021,6:00,3x3 Basketball,Aomi Urban Sports Park,"Women's Pool Round (2 games), Men's Pool Round (2 games)"
25th_July_2021,6:15,Handball,Yoyogi National Stadium,"Women's Preliminary Round Group A: Montenegro vs Angola, Women's Preliminary Round Group A: Norway vs Republic of Korea"
25th_July_2021,6:20,Volleyball,Ariake Arena,"Women's Preliminary Round - Pool A: Serbia vs Dominican Rep., Women's Preliminary Round - Pool B: China vs Turkey"
25th_July_2021,7:00,Beach Volleyball,Shiokaze Park,Men's or Women's Preliminaries (3 matches)
25th_July_2021,7:00,Diving,Tokyo Aquatics Centre,Women's Synchronised 3m Springboard Final
25th_July_2021,7:10,Artistic Gymnastics,Ariake Gymnastics Centre,Women's Qualification
25th_July_2021,7:50,Weightlifting,Tokyo International Forum,Men's 61 kg Group A
25th_July_2021,8:30,Football,Sapporo Dome,"Men's Group C: Egypt vs Argentina, Men's Group C: Australia vs Spain"
25th_July_2021,9:00,Boxing,Kokugikan Arena,"Women's Fly (48-51kg) - Preliminaries - Round of 32, Men's Light (57-63kg) - Preliminaries - Round of 32, Men's Light Heavy (75-81kg) - Preliminaries - Round of 32"
25th_July_2021,9:00,Judo,Nippon Budokan,"Women -78 kg Repechage, Women -78 kg Semifinals, Men -100 kg Repechage, Men -100 kg Semifinals, Women -78 kg Contests for Bronze Medal, Women -78 kg Final, Men -100 kg Contests for Bronze Medal, Men -100 kg Final"
25th_July_2021,9:00,Equestrian,Equestrian Park,Dressage Grand Prix Team and Individual Day 2
25th_July_2021,9:00,Judo,Nippon Budokan,"Women -52 kg Repechage, Women -52 kg Semifinals, Men -66 kg Repechage, Men -66 kg Semifinals, Women -52 kg Contests for Bronze Medal, Women -52 kg Final, Men -66 kg Contests for Bronze Medal, Men -66 kg Final"
25th_July_2021,9:00,football,Saitama Stadium,"Men's Group A: France vs South Africa, Men's Group A: Japan vs Mexico"
25th_July_2021,9:00,football,Ibaraki Kashima Stadium,"Men's Group B: New Zealand vs Honduras, Men's Group B: Romania vs Republic of Korea"
25th_July_2021,9:20,Basketball,Saitama Super Arena,Men's Preliminary Round Group B: Australia vs Nigeria
25th_July_2021,9:30,Football,International Stadium Yokohama,"Men's Group D: Brazil vs Côte d'Ivoire, Men's Group D: Saudi Arabia vs Germany"
25th_July_2021,9:30,3x3 Basketball,Aomi Urban Sports Park,"Women's Pool Round (2 games), Men's Pool Round (2 games)"
25th_July_2021,10:00,Badminton,Musashino Forest Sport Plaza,"Men's Singles Group Play Stage, Women's Singles Group Play Stage, Men's Doubles Group Play Stage, Women's Doubles Group Play Stage, Mixed Doubles Group Play Stage"
25th_July_2021,10:00,Fencing,Makuhari Messe Hall,"Women's Foil Individual Semifinals, Men's Epée Individual Semifinals, Women's Foil Individual Bronze Medal Bout"
25th_July_2021,10:20,Water Polo,Tatsumi Water Polo Centre,"Men's Preliminary Round - Group B: Serbia vs Spain, Men's Preliminary Round - Group B: Croatia vs Kazakhstan"
25th_July_2021,10:30,Hockey,Oi Hockey Stadium,"Men's Pool A: India vs Australia, Men's Pool A: Spain vs New Zealand"
25th_July_2021,11:00,Swimming,Tokyo Aquatics Centre,"Women's 100m Backstroke - Heats, Men's 200m Freestyle - Heats, Women's 100m Breaststroke - Heats, Men's 100m Backstroke - Heats, Women's 400m Freestyle - Heats, Men's 4 x 100m Freestyle Relay - Heats"
25th_July_2021,11:00,Hockey,Oi Hockey Stadium,"Men's Pool A: Japan vs Argentina, Men's Pool B: South Africa vs Netherlands"
25th_July_2021,11:00,Taekwondo,Makuhari Messe Hall,"Women -57 kg Repechages (2 matches), Men -68 kg Repechages (2 matches), Women -57 kg Bronze Medal Contests (2 matches), Men -68 kg Bronze Medal Contests (2 matches), Women -57 kg Gold Medal Contest, Men -68 kg Gold Medal Contest"
25th_July_2021,11:30,Handball,Yoyogi National Stadium,"Women's Preliminary Round Group B: Spain vs Sweden, Women's Preliminary Round Group B: Hungary vs France"
25th_July_2021,11:40,Volleyball,Ariake Arena,"Women's Preliminary Round - Pool A: Japan vs Kenya, Women's Preliminary Round - Pool A: Brazil vs Republic of Korea"
25th_July_2021,11:50,Weightlifting,Tokyo International Forum,Men's 67 kg Group A
25th_July_2021,12:00,Table Tennis,Tokyo Metropolitan Gymnasium,Mixed Doubles Semifinals
25th_July_2021,12:00,Softball,Yokohama Baseball Stadium,Softball Opening Round: Italy vs Mexico
25th_July_2021,12:00,Beach Volleyball,Shiokaze Park,Men's or Women's Preliminaries (3 matches)
25th_July_2021,12:20,Artistic Gymnastics,Ariake Gymnastics Centre,Women's Qualification
25th_July_2021,13:00,Basketball,Saitama Super Arena,Men's Preliminary Round Group A: France vs United States
25th_July_2021,13:00,3x3 Basketball,Aomi Urban Sports Park,"Women's Pool Round (2 games), Men's Pool Round (2 games)"
26th_July_2021,22:30,Triathlon,Odaiba Marine Park,Men
26th_July_2021,23:00,Surfing,Tsurigasaki Surfing Beach,"Women's Round 3, Men's Round 3"
26th_July_2021,1:00,Volleyball,Ariake Arena,"Men's Preliminary Round - Pool A: Islamic Rep. of Iran vs Venezuela, Men's Preliminary Round - Pool B: United States vs ROC"
26th_July_2021,1:00,Skateboarding,Ariake Urban Sports Park,"Women's Street Prelims Heats, Women's Street Final"
26th_July_2021,1:00,Shooting,Asaka Shooting Range,"Skeet Women's Qualification - Day 2, Skeet Men's Qualification - Day 2, Skeet Women's Finals, Skeet Men's Finals"
26th_July_2021,1:00,rugby,Tokyo Stadium,Men's Pool Round (6 matches)
26th_July_2021,1:00,Rowing,Sea Forest Waterway,"Women's Single Sculls Quarterfinals, Men's Single Sculls Quarterfinals, Women's Double Sculls Semifinals, Men's Double Sculls Semifinals, Women's Four Repechage, Men's Four Repechage"
26th_July_2021,1:00,Handball,Yoyogi National Stadium,"Men's Preliminary Round Group A: Brazil vs France, Men's Preliminary Round Group A: Argentina vs Germany"
26th_July_2021,1:00,Fencing,Makuhari Messe Hall,"Women's Sabre Individual Table of 64, Men's Foil Individual Table of 64, Women's Sabre Individual Table of 32"
26th_July_2021,1:00,Beach Volleyball,Shiokaze Park,Men's or Women's Preliminaries (4 matches)
26th_July_2021,1:30,Hockey,Oi Hockey Stadium,"Men's Pool B: Germany vs Belgium, Men's Pool B: Great Britain vs Canada"
26th_July_2021,1:30,Archery,Yumenoshima Park Archery Field,Men's Team 1/8 Eliminations
26th_July_2021,2:00,Taekwondo,Makuhari Messe Hall,"Women -67 kg Round of 16 (8 matches), Men -80 kg Round of 16 (8 matches), Women -67 kg Quarterfinals (4 matches), Men -80 kg Quarterfinals (4 matches), Women -67 kg Semifinals (2 matches), Men -80 kg Semifinals (2 matches)"
26th_July_2021,2:00,Badminton,Musashino Forest Sport Plaza,"Men's Singles Group Play Stage, Women's Singles Group Play Stage, Men's Doubles Group Play Stage, Women's Doubles Group Play Stage, Mixed Doubles Group Play Stage"
26th_July_2021,2:00,Table Tennis,Tokyo Metropolitan Gymnasium,"Men's Singles Round 2, Women's Singles Round 2"
26th_July_2021,2:00,Hockey,Oi Hockey Stadium,"Women's Pool A: Netherlands vs Ireland, Women's Pool B: Australia vs China"
26th_July_2021,2:00,Basketball,Saitama Super Arena,Women's Preliminary Round Group A: Republic of Korea vs Spain
26th_July_2021,2:00,Softball,Yokohama Baseball Stadium,"Softball Opening Round: Japan vs United States, Softball Opening Round: Canada vs Italy"
26th_July_2021,2:15,3x3 Basketball,Aomi Urban Sports Park,"Women's Pool Round (2 games), Men's Pool Round (2 games)"
26th_July_2021,2:30,Swimming,Tokyo Aquatics Centre,"Women's 100m Butterfly Final, Men's 200m Freestyle Semifinals, Women's 100m Breaststroke Semifinals, Women's 100m Butterfly Victory Ceremony, Men's 100m Breaststroke Final, Women's 400m Freestyle Final, Men's 100m Backstroke Semifinals, Men's 100m Breaststroke Victory Ceremony, Women's 100m Backstroke Semifinals, Men's 4 x 100m Freestyle Relay Final"
26th_July_2021,3:00,boxing,Kokugikan Arena,"Men's Fly (48-52kg) - Preliminaries - Round of 32, Men's Middle (69-75kg) - Preliminaries - Round of 32, Women's Feather (54-57kg) - Preliminaries - Round of 16"
26th_July_2021,3:00,Judo,Nippon Budokan,"Women -57 kg Elimination Rounds, Women -57 kg Quarterfinals, Men -73 kg Elimination Rounds, Men -73 kg Quarterfinals"
26th_July_2021,3:00,Tennis,Ariake Tennis Park,"Men's Singles Second Round, Women's Singles Second Round, Men's Doubles Second Round, Women's Doubles Second Round"
26th_July_2021,4:00,Sailing,Enoshima Yacht Harbour,"RS:X Men, RS:X Women, Laser Men, Laser Radial Women"
26th_July_2021,5:40,Basketball,Saitama Super Arena,Men's Preliminary Round Group C: Argentina vs Winner of Olympic Qualifying Tournament in Kaunas(Lithuania)
26th_July_2021,5:45,Archery,Yumenoshima Park Archery Field,"Men's Team Quarterfinals, Men's Team Semifinals, Men's Team Bronze Medal Match, Men's Team Gold Medal Match"
26th_July_2021,5:50,Weightlifting,Tokyo International Forum,Women's 55 kg Group B
26th_July_2021,6:00,3x3 Basketball,Aomi Urban Sports Park,"Women's Pool Round (2 games), Men's Pool Round (2 games)"
26th_July_2021,6:00,Canoe Slalom,Kasai Canoe Slalom Centre,"Canoe (C1) Men Semi-final, Canoe (C1) Men Final, Canoe (C1) Men Victory Ceremony"
26th_July_2021,6:00,Water Polo,Tatsumi Water Polo Centre,"Women's Preliminary Round - Group B: United States vs China, Women's Preliminary Round - Group B: ROC vs Hungary"
26th_July_2021,6:15,Handball,Yoyogi National Stadium,"Men's Preliminary Round Group B: Egypt vs Denmark, Men's Preliminary Round Group A: Spain vs Norway"
26th_July_2021,6:20,Volleyball,Ariake Arena,"Men's Preliminary Round - Pool A: Poland vs Italy, Men's Preliminary Round - Pool B: France vs Tunisia"
26th_July_2021,6:30,Table Tennis,Tokyo Metropolitan Gymnasium,"Men's Singles Round 3, Women's Singles Round 3"
26th_July_2021,7:00,Beach Volleyball,Shiokaze Park,Men's or Women's Preliminaries (3 matches)
26th_July_2021,7:00,Cycling Mountain Bike,Izu MTB Course,Men's Cross-country
26th_July_2021,7:00,diving,Tokyo Aquatics Centre,Men's Synchronised 10m Platform Final
26th_July_2021,8:30,Rugby,Tokyo Stadium,Men's Pool Round (6 matches)
26th_July_2021,9:00,Boxing,Kokugikan Arena,"Men's Fly (48-52kg) - Preliminaries - Round of 32, Men's Middle (69-75kg) - Preliminaries - Round of 32, Women's Feather (54-57kg) - Preliminaries - Round of 16"
26th_July_2021,9:00,Judo,Nippon Budokan,"Women -57 kg Repechage, Women -57 kg Semifinals, Men -73 kg Repechage, Men -73 kg Semifinals, Women -57 kg Contests for Bronze Medal, Women -57 kg Final, Men -73 kg Contests for Bronze Medal, Men -73 kg Final"
26th_July_2021,9:20,Basketball,Saitama Super Arena,Women's Preliminary Round Group A: Serbia vs Canada
26th_July_2021,9:30,3x3 Basketball,Aomi Urban Sports Park,"Women's Pool Round (2 games), Men's Pool Round (2 games)"
26th_July_2021,10:00,Badminton,Musashino Forest Sport Plaza,"Men's Singles Group Play Stage, Women's Singles Group Play Stage, Men's Doubles Group Play Stage, Women's Doubles Group Play Stage, Mixed Doubles Group Play Stage"
26th_July_2021,10:00,Fencing,Makuhari Messe Hall,"Women's Sabre Individual Semifinals, Men's Foil Individual Semifinals, Women's Sabre Individual Bronze Medal Bout, Men's Foil Individual Bronze Medal Bout, Women's Sabre Individual Gold Medal Bout, Men's Foil Individual Gold Medal Bout"
26th_July_2021,10:20,Water Polo,Tatsumi Water Polo Centre,"Women's Preliminary Round - Group A: Australia vs Netherlands, Women's Preliminary Round - Group A: Spain vs Canada"
26th_July_2021,10:30,Hockey,Oi Hockey Stadium,"Women's Pool A: South Africa vs Great Britain, Women's Pool B: Japan vs New Zealand"
26th_July_2021,11:00,Artistic Gymnastic,Ariake Gymnastics Centre,Men's Team Final
26th_July_2021,11:00,Swimming,Tokyo Aquatics Centre,"Women's 200m Freestyle - Heats, Men's 200m Butterfly - Heats, Women's 200m Individual Medley - Heats, Women's 1500m Freestyle - Heats"
26th_July_2021,11:00,Taekwondo,Makuhari Messe Hall,"Women -67 kg Repechages (2 matches), Men -80 kg Repechages (2 matches), Women -67 kg Bronze Medal Contests (2 matches), Men -80 kg Bronze Medal Contests (2 matches), Women -67 kg Gold Medal Contest, Men -80 kg Gold Medal Contest"
26th_July_2021,11:00,Hockey,Oi Hockey Stadium,"Women's Pool B: Argentina vs Spain, Women's Pool A: Germany vs India"
